Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.5836400393966098,0.041324435318275156,0.36425339366515835,0.07422775472568004
Random Forest,0.9519465035508786,0.10909090909090909,0.006787330316742082,0.012779552715654952
XGBoost,0.7039033746306568,0.06645114942528736,0.41855203619909503,0.11469311841289523
CatBoost,0.865999688974133,0.08247422680412371,0.19004524886877827,0.11502909962341663
