iter	Passed	Remaining
409	4132	5946
410	4141	5934
411	4149	5922
412	4158	5910
413	4167	5898
414	4176	5887
415	4185	5876
416	4194	5864
417	4204	5853
418	4212	5841
419	4222	5830
420	4231	5819
421	4240	5808
422	4250	5797
423	4260	5787
424	4269	5776
425	4280	5768
426	4292	5759
427	4302	5749
428	4313	5741
429	4323	5731
430	4335	5723
431	4345	5713
432	4355	5703
433	4366	5694
434	4377	5685
435	4388	5676
436	4398	5666
437	4409	5657
438	4419	5648
439	4430	5638
440	4439	5627
441	4449	5617
442	4459	5606
443	4468	5595
444	4477	5584
445	4486	5573
446	4496	5562
447	4506	5552
448	4516	5542
449	4527	5533
450	4538	5524
451	4548	5514
452	4559	5505
453	4569	5495
454	4580	5486
455	4590	5476
456	4601	5467
457	4611	5457
458	4623	5448
459	4633	5438
460	4643	5429
461	4655	5421
462	4665	5411
463	4675	5400
464	4686	5391
465	4695	5381
466	4705	5370
467	4715	5360
468	4726	5351
469	4736	5340
470	4745	5329
471	4754	5318
472	4764	5307
473	4773	5297
474	4782	5286
475	4791	5275
476	4801	5264
477	4811	5254
478	4820	5243
479	4829	5232
480	4839	5221
481	4849	5211
482	4863	5205
483	4874	5196
484	4885	5187
485	4895	5177
486	4906	5167
487	4916	5158
488	4926	5148
489	4937	5138
490	4947	5128
491	4957	5118
492	4967	5108
493	4977	5097
494	4988	5089
495	4999	5079
496	5009	5069
497	5019	5059
498	5028	5048
499	5038	5038
500	5047	5027
501	5057	5016
502	5066	5006
503	5076	4995
504	5085	4985
505	5095	4974
506	5105	4964
507	5114	4953
508	5124	4943
509	5134	4933
510	5144	4923
511	5155	4913
512	5165	4903
513	5174	4892
514	5185	4883
515	5194	4872
516	5204	4861
517	5213	4850
518	5222	4840
519	5232	4830
520	5242	4819
521	5252	4809
522	5263	4800
523	5272	4789
524	5283	4780
525	5294	4770
526	5305	4761
527	5316	4752
528	5326	4742
529	5336	4732
530	5347	4722
531	5357	4713
532	5367	4703
533	5378	4693
534	5389	4684
535	5400	4674
536	5410	4665
537	5420	4654
538	5430	4644
539	5440	4634
540	5449	4623
541	5458	4612
542	5468	4602
543	5478	4592
544	5487	4581
545	5496	4570
546	5505	4559
547	5514	4548
548	5524	4537
549	5533	4527
550	5542	4516
551	5551	4505
552	5561	4495
553	5570	4484
554	5580	4474
555	5591	4465
556	5601	4455
557	5611	4444
558	5621	4434
559	5631	4424
560	5641	4414
561	5651	4404
562	5661	4394
563	5670	4383
564	5681	4374
565	5690	4363
566	5700	4353
567	5710	4342
568	5719	4332
569	5728	4321
570	5738	4311
571	5747	4300
572	5757	4290
573	5767	4280
574	5777	4270
575	5787	4260
576	5798	4250
577	5809	4241
578	5819	4231
579	5829	4221
580	5840	4211
581	5851	4202
582	5861	4192
583	5872	4183
584	5883	4173
585	5893	4163
586	5903	4153
587	5912	4142
588	5922	4132
589	5931	4122
590	5941	4111
591	5950	4101
592	5960	4090
593	5969	4080
594	5978	4069
595	5988	4059
596	5997	4048
597	6008	4039
598	6020	4030
599	6030	4020
600	6040	4010
601	6050	4000
602	6060	3989
603	6070	3980
604	6080	3969
605	6090	3959
606	6100	3949
607	6109	3939
608	6119	3929
609	6129	3918
610	6138	3908
611	6149	3898
612	6158	3888
613	6169	3878
614	6179	3868
615	6189	3858
616	6199	3848
617	6209	3838
618	6219	3828
619	6229	3818
620	6238	3807
621	6248	3797
622	6257	3786
623	6267	3776
624	6277	3766
625	6288	3756
626	6298	3746
627	6308	3736
628	6318	3726
629	6328	3716
630	6338	3706
631	6348	3696
632	6359	3686
633	6368	3676
634	6379	3666
635	6390	3657
636	6401	3648
637	6412	3638
638	6423	3629
639	6434	3619
640	6446	3610
641	6457	3600
642	6467	3590
643	6478	3581
644	6487	3570
645	6498	3561
646	6509	3551
647	6520	3541
648	6531	3532
649	6542	3522
650	6552	3512
651	6562	3502
652	6572	3492
653	6582	3482
654	6593	3472
655	6603	3463
656	6614	3453
657	6624	3443
658	6634	3432
659	6645	3423
660	6655	3413
661	6664	3402
662	6674	3392
663	6684	3382
664	6694	3372
665	6703	3362
666	6713	3351
667	6723	3341
668	6732	3331
669	6742	3321
670	6752	3311
671	6762	3300
672	6773	3290
673	6782	3280
674	6793	3270
675	6803	3260
676	6813	3250
677	6823	3240
678	6833	3230
679	6843	3220
680	6852	3210
681	6862	3199
682	6872	3189
683	6882	3179
684	6892	3169
685	6902	3159
686	6912	3149
687	6923	3139
688	6933	3129
689	6943	3119
690	6953	3109
691	6962	3099
692	6972	3088
693	6982	3078
694	6992	3068
695	7001	3058
696	7010	3047
697	7020	3037
698	7030	3027
699	7039	3016
700	7048	3006
701	7058	2996
702	7068	2986
703	7078	2976
704	7088	2966
705	7097	2955
706	7107	2945
707	7116	2934
708	7125	2924
709	7135	2914
710	7145	2904
711	7155	2894
712	7164	2883
713	7173	2873
714	7184	2863
715	7193	2853
716	7202	2842
717	7212	2832
718	7221	2822
719	7231	2812
720	7240	2801
721	7250	2791
722	7259	2781
723	7269	2771
724	7278	2760
725	7287	2750
726	7297	2740
727	7306	2730
728	7317	2720
729	7328	2710
730	7338	2700
731	7350	2690
732	7362	2681
733	7373	2672
734	7385	2662
735	7399	2653
736	7409	2644
737	7419	2634
738	7430	2624
739	7439	2614
740	7449	2603
741	7462	2594
742	7476	2586
743	7491	2577
744	7505	2569
745	7518	2559
746	7529	2550
747	7539	2540
748	7549	2529
749	7558	2519
750	7566	2508
751	7575	2498
752	7585	2488
753	7594	2477
754	7603	2467
755	7612	2457
756	7622	2446
757	7632	2436
758	7642	2426
759	7654	2417
760	7665	2407
761	7674	2397
762	7684	2386
763	7694	2376
764	7703	2366
765	7712	2355
766	7721	2345
767	7730	2335
768	7740	2325
769	7749	2314
770	7758	2304
771	7767	2294
772	7776	2283
773	7785	2273
774	7795	2263
775	7805	2253
776	7814	2242
777	7823	2232
778	7833	2222
779	7842	2211
780	7852	2201
781	7861	2191
782	7872	2181
783	7881	2171
784	7892	2161
785	7902	2151
786	7911	2141
787	7921	2131
788	7931	2121
789	7941	2110
790	7951	2100
791	7961	2090
792	7972	2081
793	7983	2071
794	7993	2061
795	8004	2051
796	8014	2041
797	8024	2031
798	8034	2021
799	8044	2011
800	8054	2001
801	8064	1991
802	8074	1980
803	8084	1970
804	8093	1960
805	8104	1950
806	8114	1940
807	8125	1930
808	8135	1920
809	8146	1910
810	8156	1900
811	8166	1890
812	8175	1880
813	8186	1870
814	8196	1860
815	8206	1850
816	8216	1840
817	8225	1830
818	8235	1820
819	8245	1810
820	8255	1799
821	8265	1789
822	8275	1779
823	8285	1769
824	8295	1759
825	8305	1749
826	8315	1739
827	8325	1729
828	8336	1719
829	8347	1709
830	8357	1699
831	8367	1689
832	8377	1679
833	8387	1669
834	8397	1659
835	8407	1649
836	8417	1639
837	8427	1629
838	8436	1619
839	8447	1609
840	8456	1598
841	8466	1588
842	8475	1578
843	8484	1568
844	8494	1558
845	8503	1547
846	8513	1537
847	8523	1527
