iter	Logloss
0	0.6850209706
1	0.6776154631
2	0.6717094946
3	0.6655686088
4	0.6604262593
5	0.6553770454
6	0.6508566887
7	0.6469584217
8	0.643019832
9	0.6395814729
10	0.6370242785
11	0.6343149635
12	0.6315187891
13	0.6293270278
14	0.6272206103
15	0.6253711978
16	0.6232993068
17	0.6218312641
18	0.6206644466
19	0.6194601125
20	0.6179438014
21	0.6166722349
22	0.6149960249
23	0.6142651607
24	0.6130538526
25	0.6119345443
26	0.6109176638
27	0.6096416177
28	0.6085747807
29	0.6073106173
30	0.606606567
31	0.60565746
32	0.6050860615
33	0.6039535546
34	0.6033134018
35	0.6027662086
36	0.6021753865
37	0.6013028787
38	0.6003825969
39	0.5997084383
40	0.5986271734
41	0.5979075533
42	0.5974228208
43	0.5969386691
44	0.596139964
45	0.5955460505
46	0.5950845934
47	0.5941976028
48	0.5934703626
49	0.5930771745
50	0.5927621722
51	0.5923489933
52	0.5920204243
53	0.5916521447
54	0.5912952078
55	0.5909926653
56	0.5907391596
57	0.5902702897
58	0.5899370127
59	0.589241203
60	0.5886628093
61	0.5881961131
62	0.5877559801
63	0.5873820493
64	0.586949071
65	0.5865431371
66	0.5863226235
67	0.5858532176
68	0.5855460061
69	0.5852234865
70	0.5850521292
71	0.5846443571
72	0.5843761031
73	0.5838948314
74	0.5835703006
75	0.5833148589
76	0.5829549499
77	0.5825613616
78	0.5821681625
79	0.5818833378
80	0.5816421852
81	0.5812688393
82	0.580905731
83	0.5806527068
84	0.5804366512
85	0.5801391268
86	0.5797935142
87	0.5794901468
88	0.5793020262
89	0.5791871427
90	0.5788381064
91	0.5786390394
92	0.5783754679
93	0.5783063702
94	0.5781130519
95	0.5778410261
96	0.5775785679
97	0.5772848509
98	0.5771043134
99	0.5768075146
100	0.5766506421
101	0.5763464097
102	0.5760862254
103	0.5757621557
104	0.5755078017
105	0.5753207917
106	0.5750167315
107	0.5748379485
108	0.5744427916
109	0.5743389482
110	0.5741046802
111	0.5739254188
112	0.5738226978
113	0.5736116724
114	0.5733547923
115	0.5731465511
116	0.5728149279
117	0.5725881669
118	0.5723387434
119	0.572164423
120	0.5719681875
121	0.571785974
122	0.5716130441
123	0.5714600882
124	0.5712654952
125	0.5709075857
126	0.5705951474
127	0.5704485543
128	0.5702324277
129	0.5700351961
130	0.5698281449
131	0.5696948726
132	0.5694120842
133	0.5692380841
134	0.569092398
135	0.5689759988
136	0.5688603617
137	0.5686688233
138	0.5685379751
139	0.5682446381
140	0.5680129819
141	0.567818858
142	0.5676895405
143	0.5674426211
144	0.5671683309
145	0.5670532422
146	0.5668454335
147	0.5665516168
148	0.5662702992
149	0.5660725848
150	0.5659728844
151	0.5658363298
152	0.5656795124
153	0.565504842
154	0.5653771166
155	0.5650857912
156	0.5649076674
157	0.5646723771
158	0.5644781882
159	0.5642185368
160	0.563910119
161	0.5636610712
162	0.5635250705
163	0.5632512184
164	0.5628692832
165	0.5626452054
166	0.5623052816
167	0.562076354
168	0.5618822615
169	0.5615202578
170	0.5613590377
171	0.5611317221
172	0.5609340392
173	0.5607844749
174	0.5606427064
175	0.5603833649
176	0.5601406989
177	0.5598597742
178	0.559602089
179	0.5594681449
180	0.5592700798
181	0.559041548
182	0.5588325972
183	0.5586124179
184	0.5583937953
185	0.5581239485
186	0.5579605464
187	0.5577186095
188	0.5573936281
189	0.5570128498
190	0.5567621952
191	0.5565144383
192	0.5562958784
193	0.5559961654
194	0.5557081046
195	0.5554376457
196	0.5551738677
197	0.5549271333
198	0.5547313721
199	0.5544800201
200	0.5542089337
201	0.5539775465
202	0.5537320067
203	0.5534873968
204	0.5532219541
205	0.5529793802
206	0.5527014723
207	0.552482409
208	0.5523279874
209	0.5520777884
210	0.551815437
211	0.5515486773
212	0.551321944
213	0.5511707374
214	0.5509924513
215	0.5507228904
216	0.5505102492
217	0.5502545045
218	0.5500333528
219	0.5498198813
220	0.5495897421
221	0.5493466803
222	0.5490982105
223	0.5488868415
224	0.5485975747
225	0.5483579765
226	0.548166109
227	0.5479674231
228	0.5476978779
229	0.5474407818
230	0.5471979609
231	0.5470320506
232	0.5468334662
233	0.5465755836
234	0.5463215565
235	0.5461324327
236	0.5458922
237	0.5456108718
238	0.5454503936
239	0.5451244251
240	0.5449999832
241	0.5447621092
242	0.544512813
243	0.5443884897
244	0.5441707803
245	0.543970969
246	0.5437107593
247	0.5434477402
248	0.5432724049
249	0.5430680099
250	0.5428193982
251	0.5425958729
252	0.5423404299
253	0.5420436863
254	0.5418382608
255	0.5416137956
256	0.5414479394
257	0.5412195937
258	0.5410108191
259	0.5407767716
260	0.540566701
261	0.5403953869
262	0.5401885774
263	0.5400043898
264	0.5398026262
265	0.5396132756
266	0.5394371963
267	0.5391983404
268	0.5389856623
269	0.538775001
270	0.5385240857
271	0.5383186134
272	0.5380578836
273	0.5378176607
274	0.5375861227
275	0.5373414418
276	0.5371277312
277	0.5370136676
278	0.5367677965
279	0.5364530711
280	0.5362141243
281	0.5359946581
282	0.5357833712
283	0.5355909372
284	0.5353860259
285	0.5352446204
286	0.5350782024
287	0.5349045679
288	0.5346609204
289	0.5344346185
290	0.5342547758
291	0.5340075547
292	0.5338393494
293	0.5336025975
294	0.5333405926
295	0.5331478868
296	0.5329701977
297	0.5328193492
298	0.5325376493
299	0.5323753804
300	0.5321459818
301	0.5320054179
302	0.5318147046
303	0.5315607431
304	0.5314012263
305	0.5311905399
306	0.5310607342
307	0.5308439315
308	0.530621407
309	0.5303709738
310	0.5302027772
311	0.53004606
312	0.5297187093
313	0.5294776455
314	0.5292426223
315	0.5290470997
316	0.5289239873
317	0.5287562679
318	0.5285666678
319	0.5284104138
320	0.5282525735
321	0.5281027524
322	0.5279625519
323	0.5276709148
324	0.5274718981
325	0.527184398
326	0.5270072368
327	0.5268101559
328	0.5265970874
329	0.5263630684
330	0.5261436377
331	0.5259605417
332	0.5257597887
333	0.5255872853
334	0.5254122852
335	0.5251381445
336	0.5250466904
337	0.5248460576
338	0.5246092491
339	0.5244677201
340	0.524278279
341	0.5241087586
342	0.5238748482
343	0.5236484891
344	0.5235096723
345	0.5233322114
346	0.5231677477
347	0.5229547928
348	0.5227300486
349	0.522557425
350	0.5223513398
351	0.5221830482
352	0.5220136698
353	0.5218113942
354	0.5216026617
355	0.5214778046
356	0.5213467524
357	0.5211570997
358	0.5209544509
359	0.5207678024
360	0.5205798446
361	0.5203805687
362	0.5201194603
363	0.5198784694
364	0.5197250078
365	0.5196155443
366	0.5194475942
367	0.5192775787
368	0.5190393077
369	0.5188885355
370	0.5186686675
371	0.5184792054
372	0.5183259312
373	0.5181443736
374	0.5179747541
375	0.5177903885
376	0.5175679274
377	0.5173845375
378	0.5172572469
379	0.5170696378
380	0.516936808
381	0.5167594391
382	0.5165109939
383	0.5164200805
384	0.5162885523
385	0.5161410292
386	0.5159722753
387	0.5158346876
388	0.5157078369
389	0.5155677563
390	0.515416707
391	0.5152784229
392	0.5151655049
393	0.5149802213
394	0.5148142776
395	0.5146197175
396	0.5144160997
397	0.5141745566
398	0.5139663682
399	0.5137853839
400	0.5136195032
401	0.5134601823
402	0.5133284319
403	0.5131502298
404	0.5130301046
405	0.5128803873
406	0.5127369128
407	0.512527087
408	0.5123780519
409	0.51217852
410	0.5119512007
411	0.5118026927
412	0.511676996
413	0.5115523168
414	0.5113498778
415	0.5111884522
416	0.5110292933
417	0.5108586396
418	0.510738461
419	0.5105633767
420	0.510391469
421	0.5102119226
422	0.5100348251
423	0.5098279632
424	0.5096085997
425	0.5094461997
426	0.5093011603
427	0.5091797799
428	0.5090149323
429	0.5088788219
430	0.5087216991
431	0.5086149898
432	0.5084475009
433	0.5082760471
434	0.5081088533
435	0.5079543037
436	0.5077645787
437	0.507611374
438	0.5074671117
439	0.5072767076
440	0.5071369679
441	0.5068965271
442	0.5067642438
443	0.5065829146
444	0.5064118981
445	0.5063380879
446	0.5061752104
447	0.5059919421
448	0.5058343993
449	0.5056069434
450	0.5054250956
451	0.5052663119
452	0.5050766412
453	0.5049278151
454	0.5046679106
455	0.504482182
456	0.5043317978
457	0.5041825841
458	0.503995922
459	0.503787949
460	0.5036658423
461	0.5034674648
462	0.5033017766
463	0.5031810613
464	0.5029871001
465	0.5028485971
466	0.5027337039
467	0.502533391
468	0.5023903862
469	0.5022728474
470	0.5021488034
471	0.5020048365
472	0.5018324807
473	0.50169085
474	0.5014788495
475	0.501353725
476	0.5012324108
477	0.5011192721
478	0.5009471982
479	0.5007736578
480	0.5006637443
481	0.5004689196
482	0.5003480183
483	0.5001658814
484	0.4999816944
485	0.4998470948
486	0.4996768792
487	0.4995415327
488	0.4994186251
489	0.499329493
490	0.4991696766
491	0.4990243172
492	0.4988644235
493	0.4986477529
494	0.4984433446
495	0.4982153861
496	0.4980513021
497	0.4978801923
498	0.4977887582
499	0.4976141036
500	0.4974313915
501	0.4972909746
502	0.4970990476
503	0.4969182445
504	0.4968590676
505	0.4968079921
506	0.496675335
507	0.4965135052
508	0.4963030571
509	0.4961421305
510	0.496022089
